Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Alfa Romeo,33,1991,108000,129900,Benzín,Manuální,95
Alfa Romeo,Stelvio,2017,80075,580000,Benzín,Automatická,206
Alfa Romeo,Romeo,2017,80075,580000,Benzín,Automatická,206
Alfa Romeo,Giulia,2018,108005,649000,Benzín,Automatická,206
Alfa Romeo,Stelvio,2020,84422,719999,Benzín,Automatická,206
Alfa Romeo,Stelvio,2022,140747,748000,Nafta,Automatická,154
Alfa Romeo,Giulia,2021,134000,749000,Nafta,Automatická,154
Alfa Romeo,Junior,2025,0,788800,Hybridní,Automatická,100
Alfa Romeo,Stelvio,2021,86149,799000,Benzín,Automatická,206
Alfa Romeo,Giulia,2021,73496,799999,Benzín,Automatická,206
Alfa Romeo,Stelvio,2019,60354,819000,Benzín,Automatická,206
Alfa Romeo,Tonale,2024,8801,839900,Benzín,Automatická,118
Alfa Romeo,Giulia,2021,99100,888800,Benzín,Automatická,206
Alfa Romeo,Giulia,2024,21400,966790,Benzín,Automatická,206
Alfa Romeo,Stelvio,2019,104800,979000,Benzín,Automatická,375
Alfa Romeo,Giulia,2022,37000,1050000,Benzín,Automatická,208
Alfa Romeo,Giulia,2022,30847,1069900,Benzín,Automatická,206
Alfa Romeo,Stelvio,2018,110233,1099000,Benzín,Automatická,375
Alfa Romeo,Stelvio,2024,32635,1199900,Nafta,Automatická,154
Alfa Romeo,Stelvio,2024,21058,1249000,Benzín,Automatická,206
Alfa Romeo,Stelvio,2025,5,1425000,Nafta,Automatická,154
Alfa Romeo,Giulia,2025,5,1430230,Benzín,Automatická,206
Alfa Romeo,Tonale,2024,1,1458800,Hybridní,Automatická,206
Alfa Romeo,Stelvio,2025,5,1480000,Benzín,Automatická,206
Alfa Romeo,Stelvio,2025,5,1497600,Benzín,Automatická,206
Alfa Romeo,Giulia,2025,0,1498800,Benzín,Automatická,206
Alfa Romeo,Stelvio,2021,43071,1499000,Benzín,Automatická,375
Alfa Romeo,Stelvio,2020,36574,1499000,Benzín,Automatická,375
Alfa Romeo,Stelvio,2022,36236,1499900,Benzín,Automatická,375
Alfa Romeo,Giulia,2024,1,1508800,Benzín,Automatická,206
Alfa Romeo,Stelvio,2022,43878,1525000,Benzín,Automatická,375
Alfa Romeo,Stelvio,2025,5,1539000,Benzín,Automatická,206
Alfa Romeo,Stelvio,2025,5,1549000,Benzín,Automatická,210
Alfa Romeo,Stelvio,2024,1,1576400,Nafta,Automatická,154
Alfa Romeo,Stelvio,2025,5,1590000,Benzín,Automatická,206
Alfa Romeo,Stelvio,2025,1,1617300,Benzín,Automatická,206
Alfa Romeo,Stelvio,2024,5,1617300,Benzín,Automatická,206
Alfa Romeo,Giulia,2019,14900,1669000,Benzín,Automatická,375
Alfa Romeo,Giulia,2022,20000,1718800,Benzín,Automatická,375
Alfa Romeo,4C,2017,24500,1799000,Benzín,Automatická,177
Alfa Romeo,Stelvio,2024,17420,1999900,Benzín,Automatická,382
Audi,A6,2025,0,1999000,Nafta,Automatická,210
Audi,Rs6,2013,135248,1049000,Benzín,Automatická,412
Audi,A6,2023,8100,1899000,Benzín,Automatická,250
Audi,A5,2025,100,1579000,Nafta,Automatická,150
Audi,A4,2019,145508,478000,Nafta,Automatická,140
Audi,A6 Allroad,2023,38608,1628000,Nafta,Automatická,253
Audi,A6 Avant,2020,72021,902000,Nafta,Automatická,150
Audi,A6,2020,68139,738000,Nafta,Automatická,150
Audi,A8,2017,115375,1068000,Nafta,Automatická,210
Audi,A6 Avant,2021,35700,1198000,Hybridní,Automatická,270
Audi,A7,2023,10302,1900000,Hybridní,Automatická,210
Audi,Q7,2021,79499,1199000,Nafta,Automatická,170
Audi,A7,2021,85915,1099000,Benzín,Automatická,195
Audi,A4 Avant,2020,141249,550000,Benzín,Automatická,125
Audi,A5,2023,11571,1649000,Benzín,Automatická,195
Audi,A5,2022,81970,1099000,Benzín,Automatická,195
Audi,Rs Q3,2021,37583,1379400,Benzín,Automatická,294
Audi,Sq7,2020,110361,1880000,Nafta,Automatická,320
Audi,A4,2016,147332,465000,Nafta,Automatická,140
Audi,A6 Avant,2008,308000,150000,Nafta,Automatická,171
Audi,Sq5,2021,80713,1318900,Nafta,Automatická,251
Audi,A4,2016,163617,448000,Nafta,Automatická,140
Audi,Sq5,2020,73560,1318900,Nafta,Automatická,255
Audi,A4,2017,163486,415000,Nafta,Automatická,110
Audi,Q7,2023,28710,1779000,Nafta,Automatická,210
Audi,Sq7,2019,92780,1348000,Nafta,Automatická,320
Audi,Q3,2019,76200,899900,Nafta,Automatická,140
Audi,Q7,2019,153243,1235800,Nafta,Automatická,210
Audi,A6 Allroad,2024,2590,1718200,Nafta,Automatická,210
Audi,A6,2013,225532,315000,Nafta,Automatická,180
Audi,Q8,2023,22767,1950000,Nafta,Automatická,210
Audi,A6,2013,170923,415000,Nafta,Automatická,180
Audi,Sq5,2018,117000,899000,Benzín,Automatická,260
Audi,A6,2022,15400,1668000,Nafta,Automatická,210
Audi,A6 Allroad,2024,15000,1799000,Nafta,Automatická,150
Audi,A6 Allroad,2021,64643,999000,Nafta,Automatická,180
Audi,A3,2024,17117,689000,Benzín,Automatická,110
Audi,Q7,2022,65650,1399900,Nafta,Automatická,210
Audi,A5,2020,79800,999900,Benzín,Automatická,180
Audi,A6,2022,40927,864000,Nafta,Automatická,150
Audi,S3,2021,65000,880000,Benzín,Automatická,228
Audi,A6,2024,11500,1369000,Nafta,Automatická,150
Audi,Sq7,2020,90930,1749000,Nafta,Automatická,320
Audi,A4,2019,166946,517000,Nafta,Automatická,110
Audi,Q8,2023,48097,1899000,Nafta,Automatická,210
Audi,A6 Avant,2005,318000,90000,Nafta,Automatická,165
Audi,Sq7,2020,105032,1945000,Nafta,Automatická,375
Audi,A6,2024,28000,1179000,Nafta,Automatická,150
Audi,A6 Avant,2019,99999,1210000,Nafta,Automatická,170
