Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Mitsubishi,Colt,1.1,157834,30000,Benzin,Manualni,55,17
Nissan,Primera,1.8,249503,30000,Benzin,Manualni,85,19
Ford,Fiesta,1.3,267833,30000,Benzin,Manualni,44,18
Dacia,Logan,1.4,77017,30000,Benzin,Manualni,55,21
Kia,Rio,1.4,128484,30000,Benzin,Manualni,71,18
Honda,City,1.3,188264,30000,Benzin,Manualni,61,19
Nissan,Qashqai,2.0,359154,30000,Nafta,Manualni,110,17
Ford,Fiesta,1.3,151577,32000,Benzin,Manualni,51,20
Dacia,Sandero,1.4,224053,32000,Benzin,Manualni,55,15
Renault,Thalia,1.4,97599,32000,Benzin,Manualni,55,22
Ford,Fiesta,1.3,109504,32000,Benzin,Manualni,51,21
Dacia,Logan,1.4,195785,32000,Benzin,Manualni,55,17
Kia,Rio,1.4,203569,32000,Benzin,Manualni,71,17
Audi,A4,1.6,195286,33000,Benzin,Manualni,74,27
Dacia,Logan,1.4,119701,34000,Benzin,Manualni,55,19
Fiat,Stilo,1.4,245080,34000,Benzin,Manualni,70,20
Dacia,Logan,1.4,187000,34000,Benzin,Manualni,55,20
Honda,Civic,1.4,186924,34500,Benzin,Manualni,66,24
Opel,Agila,1.0,192400,34877,Benzin,Manualni,43,23
Mazda,5,2.0,157970,34900,Nafta,Manualni,105,17
Nissan,Primera,1.8,200816,34900,Benzin,Manualni,85,18
Mitsubishi,Colt,1.1,159809,34900,Benzin,Manualni,55,18
Ford,Fusion,1.4,127000,34990,Nafta,Manualni,50,23
Citroen,Xsara Picasso,1.6,252779,34990,Nafta,Manualni,80,18
Dacia,Sandero,1.1,221293,34999,Benzin,Manualni,55,13
Fiat,Stilo,1.6,139395,35000,Benzin,Manualni,76,22
Mitsubishi,Colt,1.3,227655,35000,Benzin,Manualni,70,17
Honda,Civic,1.4,187300,35000,Benzin,Manualni,66,21
Fiat,Panda,1.2,165771,35000,Benzin,Manualni,44,21
Peugeot,206,1.4,148114,35000,Benzin,Manualni,55,19
Citroen,C3,1.4,127539,35000,Benzin,Manualni,54,21
Mitsubishi,Space Star,1.3,245300,35000,Benzin,Manualni,63,25
Volvo,S40,1.9,205785,35000,Benzin,Automaticka,100,25
Renault,Clio,1.1,118914,35000,Benzin,Manualni,43,24
Honda,Accord,2.2,310641,35000,Nafta,Manualni,103,20
Honda,Civic,1.6,278162,35000,Benzin,Manualni,81,23
Kia,Picanto,1.0,70651,35000,Benzin,Manualni,45,18
Hyundai,Matrix,1.6,123721,35000,Benzin,Manualni,76,20
Kia,Carnival,2.9,195570,35000,Benzin,Manualni,106,21
Toyota,Corolla,1.4,162006,35000,Benzin,Manualni,71,23
Volvo,V50,2.0,262285,35000,Nafta,Manualni,100,21
Mitsubishi,Colt,1.1,97165,35000,Benzin,Manualni,55,16
Hyundai,Getz,1.5,226239,35000,Nafta,Manualni,65,19
Seat,Leon,1.4,303000,35000,Benzin,Manualni,55,20
Fiat,Punto,1.2,178010,35000,Benzin,Manualni,44,19
Peugeot,207,1.4,229140,35900,Benzin,Manualni,65,19
Mini,Cooper,1.6,244000,36000,Benzin,Manualni,85,22
Fiat,Panda,1.2,121248,37000,Benzin,Manualni,40,20
Toyota,Yaris,1.0,173560,37000,Benzin,Manualni,48,21
Toyota,Yaris,1.0,111000,38000,Benzin,Manualni,50,23
Mitsubishi,Colt,1.1,217035,38000,Benzin,Manualni,55,18
Seat,Cordoba,1.4,129000,39000,Benzin,Manualni,63,17
Dacia,Logan,1.5,205655,39000,Nafta,Manualni,63,17
Peugeot,307,2.0,342000,39000,Nafta,Manualni,100,19
Mitsubishi,Colt,1.5,160000,39000,Benzin,Manualni,80,18
Mitsubishi,Space Star,1.8,185000,39000,Benzin,Manualni,82,20
Nissan,Note,1.5,264195,39000,Nafta,Manualni,50,19
Skoda,Octavia,1.6,254735,39000,Benzin,Manualni,75,16
Opel,Meriva,1.4,201000,39000,Benzin,Manualni,66,20
Nissan,Terrano,2.7,250500,39000,Nafta,Manualni,92,29
Dacia,Logan,1.5,205655,39000,Nafta,Manualni,63,17
Renault,Megane,1.9,159608,39000,Nafta,Manualni,88,20
MercedesBenz,Tridy A,1.7,201703,39000,Benzin,Manualni,85,19
Citroen,C4,1.6,221236,39000,Nafta,Manualni,66,17
Renault,Thalia,1.4,144800,39877,Benzin,Manualni,55,19
Nissan,Qashqai,2.0,289837,39900,Nafta,Manualni,110,18
Fiat,Panda,1.1,179427,39900,Benzin,Manualni,40,21
MercedesBenz,Slk,2.0,196523,39990,Benzin,Manualni,120,25
Ford,Fiesta,1.3,147000,39990,Benzin,Manualni,51,17
Renault,Clio,1.5,144329,39990,Nafta,Manualni,63,19
Fiat,Croma,1.9,240498,39999,Nafta,Manualni,88,19
Mini,Cooper,1.6,264450,39999,Benzin,Manualni,85,21
Mini,Cooper,1.6,316000,39999,Benzin,Manualni,85,23
Honda,Stream,2.0,229000,39999,Benzin,Automaticka,115,24
Dacia,Sandero,1.6,215100,39999,Benzin,Manualni,64,15
Audi,80,2.0,285221,39999,Benzin,Manualni,66,33
Renault,Megane,1.6,236897,40000,Benzin,Manualni,82,17
Renault,Laguna,2.0,215000,40000,Benzin,Manualni,99,19
Renault,Megane,1.4,139084,40000,Benzin,Manualni,70,23
Citroen,C4,1.6,159930,40000,Benzin,Manualni,80,20
Dacia,Sandero,1.4,202280,40000,Benzin,Manualni,55,16
Nissan,Micra,1.2,154978,40000,Benzin,Manualni,59,22
Hyundai,Atos,1.1,102121,40000,Benzin,Manualni,46,18
Renault,Megane,1.5,182986,40000,Nafta,Manualni,78,18
Mitsubishi,Colt,1.3,160675,40000,Benzin,Manualni,70,17
Opel,Meriva,1.7,215723,40000,Nafta,Manualni,74,18
Subaru,Outback,2.0,340883,40000,Nafta,Manualni,110,15
Dacia,Logan,1.4,151403,40000,Benzin,Manualni,55,17
Mitsubishi,Pajero Pinin,1.8,160000,40000,Benzin,Manualni,85,22
Dacia,Sandero,1.4,202280,40000,Benzin,Manualni,55,16
Renault,Clio,1.2,100558,40000,Benzin,Manualni,55,16
Citroen,Berlingo,1.6,251867,40000,Benzin,Manualni,66,17
Audi,A2,1.4,170045,40000,Benzin,Manualni,55,23
Skoda,Fabia,1.2,165603,40000,Benzin,Manualni,47,19
Renault,Thalia,1.4,103505,42000,Benzin,Manualni,72,20
Renault,Megane,1.6,207308,42000,Benzin,Manualni,82,18
Peugeot,107,1.0,113091,42000,Benzin,Manualni,50,16
