Značka,Model,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Citroen,C5,301000,10000,Nafta,Manualni,80,21
Peugeot,206,145000,11000,Benzin,Manualni,44,24
Citroen,Xsara Picasso,350000,12000,Nafta,Manualni,66,22
Opel,Meriva,257199,12000,Nafta,Manualni,74,20
Skoda,Fabia,232374,12999,Benzin,Manualni,47,22
Nissan,Primera,155000,14000,Benzin,Manualni,73,28
Volkswagen,Fox,122015,14000,Benzin,Manualni,40,20
Citroen,C3,166500,14900,Benzin,Manualni,54,21
Opel,Combo,368424,14900,Nafta,Manualni,74,18
Hyundai,Matrix,194579,14990,Nafta,Manualni,81,18
Citroen,C3,233897,15000,Benzin,Manualni,44,16
Volvo,V70,390000,15000,Benzin,Manualni,125,24
Renault,Scenic,116086,15000,Benzin,Manualni,79,23
Ford,Fiesta,202453,15000,Nafta,Manualni,50,20
Seat,Alhambra,293721,15000,Nafta,Manualni,96,22
Citroen,C4,254950,15000,Benzin,Manualni,80,18
Seat,Ibiza,209977,15000,Benzin,Manualni,55,22
Renault,Scenic,181217,16000,Benzin,Manualni,81,19
Seat,Ibiza,169258,16000,Benzin,Manualni,47,19
Seat,Ibiza,331900,17000,Nafta,Manualni,55,22
Opel,Astra,324809,18000,Nafta,Manualni,50,26
Renault,Scenic,297000,18000,Nafta,Manualni,85,21
Renault,Laguna,237000,18000,Benzin,Manualni,88,23
Renault,Twingo,162473,19000,Benzin,Manualni,43,25
Citroen,C3,235000,19000,Benzin,Manualni,54,22
Citroen,C2,133457,19000,Benzin,Manualni,44,21
Peugeot,207,189771,19000,Benzin,Manualni,65,19
Ford,Mondeo,98000,19000,Benzin,Manualni,85,28
Renault,Scenic,134022,19000,Benzin,Manualni,70,25
Opel,Omega,269005,19000,Nafta,Automaticka,110,22
Renault,Megane,228630,19000,Benzin,Manualni,66,28
Citroen,C2,133457,19000,Benzin,Manualni,44,21
Opel,Zafira,346209,19000,Nafta,Manualni,110,18
Renault,Megane,209092,19000,Benzin,Manualni,82,19
Opel,Omega,269005,19000,Nafta,Automaticka,110,22
Renault,Megane,209092,19000,Benzin,Manualni,82,19
Peugeot,207,199002,19900,Benzin,Manualni,88,17
Skoda,Octavia,404123,19999,Nafta,Manualni,81,25
Citroen,C3,163000,20000,Benzin,Manualni,54,23
Mazda,626,276852,20000,Nafta,Manualni,81,22
Renault,Scenic,190000,20000,Benzin,Manualni,83,21
Renault,Twingo,140948,20000,Benzin,Manualni,44,19
Volvo,S80,420000,20000,Nafta,Automaticka,120,23
Skoda,Felicia,166231,20000,Benzin,Manualni,50,29
Citroen,Grand C4 Picasso,365000,22000,Nafta,Manualni,110,14
Citroen,C3,110358,22000,Benzin,Manualni,44,18
Renault,Clio,237700,22000,Benzin,Manualni,55,22
Peugeot,307,246267,22900,Benzin,Manualni,100,22
Seat,Ibiza,235701,23000,Benzin,Manualni,55,22
Renault,Twingo,170341,23000,Benzin,Manualni,43,24
Seat,Alhambra,421000,23000,Nafta,Manualni,85,21
Peugeot,1007,163883,23000,Benzin,Automaticka,80,20
Opel,Astra,506030,23000,Nafta,Manualni,88,17
Nissan,Almera Tino,242000,23999,Nafta,Manualni,82,21
Skoda,Octavia,236963,24000,Benzin,Manualni,55,28
