Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Mitsubishi,Colt,1.1,2008,157834,30000,Benzín,Manuální,55,Sauto
Nissan,Primera,1.8,2006,249503,30000,Benzín,Manuální,85,Sauto
Ford,Fiesta,1.3,2007,267833,30000,Benzín,Manuální,44,Sauto
Dacia,Logan,1.4,2004,77017,30000,benzín,manual,55,Autoesa
Kia,Rio,1.4,2007,128484,30000,Benzín,Manuální,71,Sauto
Honda,City,1.3,2006,188264,30000,Benzín,Manuální,61,Sauto
Nissan,Qashqai,2.0,2008,359154,30000,Nafta,Manuální,110,Sauto
Ford,Fiesta,1.3,2005,151577,32000,Benzín,Manuální,51,Sauto
Dacia,Sandero,1.4,2010,224053,32000,benzín,manual,55,Autoesa
Renault,Thalia,1.4,2003,97599,32000,benzín,manual,55,Autoesa
Ford,Fiesta,1.3,2004,109504,32000,Benzín,Manuální,51,Sauto
Dacia,Logan,1.4,2008,195785,32000,benzín,manual,55,Autoesa
Kia,Rio,1.4,2008,203569,32000,benzín,manual,71,Autoesa
Audi,A4,1.6,1998,195286,33000,Benzín,Manuální,74,Sauto
Dacia,Logan,1.4,2006,119701,34000,benzín,manual,55,Autoesa
Fiat,Stilo,1.4,2005,245080,34000,Benzín,Manuální,70,Sauto
Dacia,Logan,1.4,2005,187000,34000,Benzín,Manuální,55,Sauto
Honda,Civic,1.4,2001,186924,34500,Benzín,Manuální,66,Sauto
Opel,Agila,1.0,2002,192400,34877,Benzín,Manuální,43,Sauto
Mazda,5,2.0,2008,157970,34900,Nafta,Manuální,105,Sauto
Nissan,Primera,1.8,2007,200816,34900,Benzín,Manuální,85,Sauto
Mitsubishi,Colt,1.1,2007,159809,34900,Benzín,Manuální,55,Sauto
Ford,Fusion,1.4,2002,127000,34990,Nafta,Manuální,50,Sauto
Citroen,Xsara Picasso,1.6,2007,252779,34990,Nafta,Manuální,80,Sauto
Dacia,Sandero,1.1,2012,221293,34999,Benzín,Manuální,55,Sauto
Fiat,Stilo,1.6,2003,139395,35000,benzín,manual,76,Autoesa
Mitsubishi,Colt,1.3,2008,227655,35000,Benzín,Manuální,70,Sauto
Honda,Civic,1.4,2004,187300,35000,Benzín,Manuální,66,Sauto
Fiat,Panda,1.2,2004,165771,35000,benzín,manual,44,Autoesa
Peugeot,206,1.4,2006,148114,35000,benzín,manual,55,Autoesa
Citroën,C3,1.4,2004,127539,35000,benzín,manual,54,Autoesa
Mitsubishi,Space Star,1.3,2000,245300,35000,Benzín,Manuální,63,Sauto
Volvo,S40,1.9,2000,205785,35000,Benzín,Automatická,100,Sauto
Renault,Clio,1.1,2001,118914,35000,Benzín,Manuální,43,Sauto
Honda,Accord,2.2,2005,310641,35000,Nafta,Manuální,103,Sauto
Honda,Civic,1.6,2002,278162,35000,Benzín,Manuální,81,Sauto
Kia,Picanto,1.0,2007,70651,35000,benzín,manual,45,Autoesa
Hyundai,Matrix,1.6,2005,123721,35000,benzín,manual,76,Autoesa
Kia,Carnival,2.9,2004,195570,35000,Benzín,Manuální,106,Sauto
Toyota,Corolla,1.4,2002,162006,35000,benzín,manual,71,Autoesa
Volvo,V50,2.0,2004,262285,35000,Nafta,Manuální,100,Sauto
Mitsubishi,Colt,1.1,2009,97165,35000,Benzín,Manuální,55,Sauto
Hyundai,Getz,1.5,2006,226239,35000,Nafta,Manuální,65,Sauto
Seat,Leon,1.4,2005,303000,35000,LPG + benzín,Manuální,55,Sauto
Fiat,Punto,1.2,2006,178010,35000,benzín,manual,44,Autoesa
Peugeot,207,1.4,2006,229140,35900,Benzín,Manuální,65,Sauto
Mini,Cooper,1.6,2003,244000,36000,Benzín,Manuální,85,Sauto
Fiat,Panda,1.2,2005,121248,37000,benzín,manual,40,Autoesa
Toyota,Yaris,1.0,2004,173560,37000,benzín,manual,48,Autoesa
Toyota,Yaris,1.0,2002,111000,38000,Benzín,Manuální,50,Sauto
Mitsubishi,Colt,1.1,2007,217035,38000,Benzín,Manuální,55,Sauto
Seat,Cordoba,1.4,2008,129000,39000,Benzín,Manuální,63,Sauto
Dacia,Logan,1.5,2008,205655,39000,nafta,manual,63,Autoesa
Peugeot,307,2.0,2006,342000,39000,Nafta,Manuální,100,Sauto
Mitsubishi,Colt,1.5,2007,160000,39000,Benzín,Manuální,80,Sauto
Mitsubishi,Space Star,1.8,2005,185000,39000,Benzín,Manuální,82,Sauto
Nissan,Note,1.5,2006,264195,39000,nafta,manual,50,Autoesa
Škoda,Octavia,1.6,2009,254735,39000,benzín,manual,75,Autoesa
Opel,Meriva,1.4,2005,201000,39000,Benzín,Manuální,66,Sauto
Nissan,Terrano,2.7,1996,250500,39000,Nafta,Manuální,92,Sauto
Dacia,Logan,1.5,2008,205655,39000,Nafta,Manuální,63,Sauto
Renault,Mégane,1.9,2005,159608,39000,nafta,manual,88,Autoesa
Mercedes Benz,Tridy A,1.7,2006,201703,39000,Benzín,Manuální,85,Sauto
Citroën,C4,1.6,2008,221236,39000,nafta,manual,66,Autoesa
Renault,Thalia,1.4,2006,144800,39877,Benzín,Manuální,55,Sauto
Nissan,Qashqai,2.0,2007,289837,39900,Nafta,Manuální,110,Sauto
Fiat,Panda,1.1,2004,179427,39900,Benzín,Manuální,40,Sauto
Mercedes Benz,Slk,2.0,2000,196523,39990,LPG + benzín,Manuální,120,Sauto
Ford,Fiesta,1.3,2008,147000,39990,Benzín,Manuální,51,Sauto
Renault,Clio,1.5,2006,144329,39990,Nafta,Manuální,63,Sauto
Fiat,Croma,1.9,2006,240498,39999,Nafta,Manuální,88,Sauto
Mini,Cooper,1.6,2004,264450,39999,Benzín,Manuální,85,Sauto
Mini,Cooper,1.6,2002,316000,39999,Benzín,Manuální,85,Sauto
Honda,Stream,2.0,2001,229000,39999,Benzín,Automatická,115,Sauto
Dacia,Sandero,1.6,2010,215100,39999,Benzín,Manuální,64,Sauto
Audi,80,2.0,1992,285221,39999,Benzín,Manuální,66,Sauto
Renault,Mégane,1.6,2008,236897,40000,benzín,manual,82,Autoesa
Renault,Laguna,2.0,2006,215000,40000,Benzín,Manuální,99,Sauto
Renault,Megane,1.4,2002,139084,40000,Benzín,Manuální,70,Sauto
Citroën,C4,1.6,2005,159930,40000,benzín,manual,80,Autoesa
Dacia,Sandero,1.4,2009,202280,40000,Benzín,Manuální,55,Sauto
Nissan,Micra,1.2,2003,154978,40000,benzín,manual,59,Autoesa
Hyundai,Atos,1.1,2007,102121,40000,benzín,manual,46,Autoesa
Renault,Megane,1.5,2007,182986,40000,Nafta,Manuální,78,Sauto
Mitsubishi,Colt,1.3,2008,160675,40000,Benzín,Manuální,70,Sauto
Opel,Meriva,1.7,2007,215723,40000,Nafta,Manuální,74,Sauto
Subaru,Outback,2.0,2010,340883,40000,Nafta,Manuální,110,Sauto
Dacia,Logan,1.4,2008,151403,40000,Benzín,Manuální,55,Sauto
Mitsubishi,Pajero Pinin,1.8,2003,160000,40000,Benzín,Manuální,85,Sauto
Dacia,Sandero,1.4,2009,202280,40000,benzín,manual,55,Autoesa
Renault,Clio,1.2,2009,100558,40000,benzín,manual,55,Autoesa
Citroen,Berlingo,1.6,2008,251867,40000,Benzín,Manuální,66,Sauto
Audi,A2,1.4,2002,170045,40000,benzín,manual,55,Autoesa
Škoda,Fabia,1.2,2006,165603,40000,benzín,manual,47,Autoesa
Renault,Thalia,1.4,2005,103505,42000,benzín,manual,72,Autoesa
Renault,Mégane,1.6,2007,207308,42000,benzín,manual,82,Autoesa
Peugeot,107,1.0,2009,113091,42000,benzín,manual,50,Autoesa
Peugeot,206,1.4,2005,169211,43000,benzín,manual,65,Autoesa
Mazda,6,2.3,2007,146000,43000,Benzín,Manuální,122,Sauto
Volvo,V50,2.0,2004,239134,44000,Nafta,Manuální,100,Sauto
Citroën,C8,2.2,2004,229095,44000,nafta,manual,94,Autoesa
Renault,Clio,1.2,2007,175780,44000,benzín,manual,48,Autoesa
Renault,Scénic,2.0,2004,210014,44000,benzín,manual,99,Autoesa
Honda,Accord,2.2,2004,269724,44300,Nafta,Manuální,103,Sauto
Subaru,Forester,2.0,2013,340000,44444,Nafta,Manuální,108,Sauto
Volvo,V50,2.0,2004,303613,44770,Nafta,Manuální,100,Sauto
Renault,Scenic,1.6,2006,284000,44900,Benzín,Manuální,77,Sauto
Mitsubishi,Colt,1.3,2004,193000,44900,Benzín,Manuální,70,Sauto
Honda,Civic,1.4,2002,248792,44900,Benzín,Manuální,66,Sauto
Citroen,C3 Picasso,1.6,2009,257713,44990,Nafta,Manuální,80,Sauto
Opel,Astra,1.7,2005,215565,44999,Nafta,Manuální,74,Sauto
Audi,A3,1.6,2001,152722,45000,benzín,manual,75,Autoesa
Honda,Civic,1.6,2003,170292,45000,Benzín,Manuální,81,Sauto
Dacia,Logan,1.4,2009,102157,45000,benzín,manual,55,Autoesa
Citroën,C4,2.0,2007,242699,45000,nafta,automat,100,Autoesa
Dacia,Logan,1.6,2009,198877,45000,benzín,manual,77,Autoesa
Renault,Megane,1.9,2008,280000,45000,Nafta,Manuální,96,Sauto
Mazda,6,2.0,2007,251229,45000,Benzín,Manuální,108,Sauto
Renault,Clio,1.1,2010,180000,45000,Benzín,Manuální,55,Sauto
Seat,Ibiza,1.4,2009,173287,45000,benzín,manual,63,Autoesa
Mazda,5,1.8,2005,185600,45000,Benzín,Manuální,85,Sauto
Mitsubishi,Colt,1.3,2007,203166,45000,Benzín,Manuální,70,Sauto
Renault,Scénic,1.9,2006,214742,45000,nafta,manual,96,Autoesa
Citroën,C3,1.1,2007,184016,45000,benzín,manual,44,Autoesa
Mercedes Benz,Tridy C,1.8,2004,262000,45000,Benzín,Automatická,120,Sauto
Citroën,Xsara,1.6,2008,176005,45000,nafta,manual,80,Autoesa
