Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Ford,Focus,2005,261500,29,Benzín,Manuální,85,Sauto
Mercedes Benz,Tridy A,1998,211499,6800,Benzín,Manuální,75,Sauto
Renault,Twingo,2002,218000,8900,Benzín,Manuální,55,Sauto
Seat,Leon,2004,239956,9900,Benzín,Manuální,77,Sauto
Peugeot,107,2010,248000,9999,Benzín,Manuální,50,Sauto
Citroen,C5,2004,301000,10000,Nafta,Manuální,80,Sauto
Peugeot,206,2001,145000,11000,Benzín,Manuální,44,Sauto
Citroen,Xsara Picasso,2003,350000,12000,Nafta,Manuální,66,Sauto
Opel,Meriva,2005,257199,12000,Nafta,Manuální,74,Sauto
Skoda,Fabia,2003,232374,12999,Benzín,Manuální,47,Sauto
Nissan,Primera,1997,155000,14000,Benzín,Manuální,73,Sauto
Volkswagen,Fox,2005,122015,14000,Benzín,Manuální,40,Sauto
Citroen,C3,2004,166500,14900,Benzín,Manuální,54,Sauto
Opel,Combo,2007,368424,14900,Nafta,Manuální,74,Sauto
Hyundai,Matrix,2007,194579,14990,Nafta,Manuální,81,Sauto
Citroen,C3,2009,233897,15000,Benzín,Manuální,44,Sauto
Volvo,V70,2001,390000,15000,LPG + benzín,Manuální,125,Sauto
Renault,Scenic,2002,116086,15000,Benzín,Manuální,79,Sauto
Ford,Fiesta,2005,202453,15000,Nafta,Manuální,50,Sauto
Seat,Alhambra,2003,293721,15000,Nafta,Manuální,96,Sauto
Citroen,C4,2007,254950,15000,Benzín,Manuální,80,Sauto
Seat,Ibiza,2003,209977,15000,Benzín,Manuální,55,Sauto
Renault,Scenic,2006,181217,16000,Benzín,Manuální,81,Sauto
Seat,Ibiza,2006,169258,16000,Benzín,Manuální,47,Sauto
Seat,Ibiza,2003,331900,17000,Nafta,Manuální,55,Sauto
Opel,Astra,1999,324809,18000,nafta,manual,50,Autoesa
Renault,Scenic,2004,297000,18000,Nafta,Manuální,85,Sauto
Renault,Laguna,2002,237000,18000,Benzín,Manuální,88,Sauto
Renault,Twingo,2000,162473,19000,Benzín,Manuální,43,Sauto
Citroen,C3,2003,235000,19000,Benzín,Manuální,54,Sauto
Citroen,C2,2004,133457,19000,Benzín,Manuální,44,Sauto
Peugeot,207,2006,189771,19000,benzín,manual,65,Autoesa
Ford,Mondeo,1997,98000,19000,Benzín,Manuální,85,Sauto
Renault,Scenic,2000,134022,19000,Benzín,Manuální,70,Sauto
Opel,Omega,2003,269005,19000,Nafta,Automatická,110,Sauto
Renault,Mégane,1997,228630,19000,benzín,manual,66,Autoesa
Citroën,C2,2004,133457,19000,benzín,manual,44,Autoesa
Opel,Zafira,2007,346209,19000,Nafta,Manuální,110,Sauto
Renault,Megane,2006,209092,19000,Benzín,Manuální,82,Sauto
Opel,Omega,2003,269005,19000,nafta,automat,110,Autoesa
Renault,Mégane,2006,209092,19000,benzín,manual,82,Autoesa
Peugeot,207,2008,199002,19900,Benzín,Manuální,88,Sauto
Skoda,Octavia,2000,404123,19999,Nafta,Manuální,81,Sauto
Citroen,C3,2002,163000,20000,Benzín,Manuální,54,Sauto
Mazda,626,2003,276852,20000,Nafta,Manuální,81,Sauto
Renault,Scenic,2004,190000,20000,Benzín,Manuální,83,Sauto
Renault,Twingo,2006,140948,20000,Benzín,Manuální,44,Sauto
Volvo,S80,2002,420000,20000,Nafta,Automatická,120,Sauto
Škoda,Felicia,1996,166231,20000,benzín,manual,50,Autoesa
Citroen,Grand C4 Picasso,2011,365000,22000,Nafta,Manuální,110,Sauto
Citroen,C3,2007,110358,22000,Benzín,Manuální,44,Sauto
Renault,Clio,2003,237700,22000,benzín,manual,55,Autoesa
Peugeot,307,2003,246267,22900,Benzín,Manuální,100,Sauto
Seat,Ibiza,2003,235701,23000,Benzín,Manuální,55,Sauto
Renault,Twingo,2001,170341,23000,benzín,manual,43,Autoesa
Seat,Alhambra,2004,421000,23000,Nafta,Manuální,85,Sauto
Peugeot,1007,2005,163883,23000,Benzín,Automatická,80,Sauto
Opel,Astra,2008,506030,23000,Nafta,Manuální,88,Sauto
Nissan,Almera Tino,2004,242000,23999,Nafta,Manuální,82,Sauto
Škoda,Octavia,1997,236963,24000,benzín,manual,55,Autoesa
Renault,Thalia,2005,176190,24000,benzín,manual,72,Autoesa
Nissan,X Trail,2001,261000,24000,Nafta,Manuální,84,Sauto
Peugeot,307,2005,191000,24500,Benzín,Manuální,80,Sauto
Opel,Astra,2003,293378,24800,Nafta,Manuální,92,Sauto
Nissan,Note,2006,182825,24900,Nafta,Manuální,50,Sauto
Citroen,C4,2005,315555,24900,Nafta,Manuální,66,Sauto
Škoda,Fabia,2004,236825,25000,benzín,manual,47,Autoesa
Volvo,V50,2005,350508,25000,Nafta,Manuální,100,Sauto
Peugeot,206,2000,142042,25000,benzín,manual,65,Autoesa
Seat,Cordoba,2006,229073,25000,benzín,manual,51,Autoesa
Renault,Scenic,2004,284171,25000,Nafta,Manuální,74,Sauto
Škoda,Fabia,2003,178863,25000,benzín,manual,44,Autoesa
Peugeot,307,2005,224416,25000,nafta,manual,66,Autoesa
Opel,Vectra,2001,239700,25000,Benzín,Manuální,92,Sauto
Seat,Ibiza,2003,152507,25000,Benzín,Manuální,55,Sauto
Peugeot,206,2000,135336,25000,Benzín,Manuální,44,Sauto
Ford,Fiesta,2002,213374,25000,Benzín,Manuální,54,Sauto
Ford,Focus,2002,163023,25000,benzín,manual,74,Autoesa
Škoda,Octavia,1999,328963,25800,benzín,manual,55,Autoesa
Volvo,V40,2002,332000,26000,Nafta,Manuální,75,Sauto
Volkswagen,New,2000,261359,26000,benzín,manual,85,Autoesa
Citroen,C3,2004,125410,26000,Benzín,Manuální,44,Sauto
Škoda,Fabia,2005,242587,26000,benzín,manual,47,Autoesa
Renault,Scenic,2001,143865,26900,Benzín,Manuální,79,Sauto
Citroen,C5,2001,219500,27000,Benzín,Manuální,100,Sauto
Mazda,6,2003,216888,27000,Nafta,Manuální,100,Sauto
Renault,Megane,2008,381302,27000,Nafta,Manuální,96,Sauto
Ford,C Max,2008,255000,28000,Nafta,Manuální,85,Sauto
Nissan,Micra,2004,167093,29000,Benzín,Manuální,48,Sauto
Citroen,C3,2006,177000,29000,Benzín,Manuální,44,Sauto
Seat,Ibiza,2004,177252,29000,Benzín,Manuální,55,Sauto
Renault,Kangoo,2006,281000,29000,Nafta,Manuální,48,Sauto
Hyundai,Santa Fe,2006,218000,29000,Nafta,Manuální,110,Sauto
Opel,Agila,2003,220528,29000,Benzín,Manuální,55,Sauto
Citroen,Xsara Picasso,2005,234000,29000,Nafta,Manuální,80,Sauto
Mercedes Benz,Tridy B,2005,217036,29000,Nafta,Automatická,85,Sauto
Mercedes Benz,Tridy A,2000,196000,29000,Nafta,Manuální,66,Sauto
Renault,Thalia,2005,183611,29000,benzín,manual,72,Autoesa
Opel,Astra,2008,250000,29500,Nafta,Manuální,88,Sauto
Mercedes Benz,Tridy A,2000,160478,29800,Benzín,Manuální,60,Sauto
Renault,Clio,2007,305791,29900,Nafta,Manuální,63,Sauto
Renault,Clio,2005,214845,29900,Benzín,Manuální,43,Sauto
Mazda,3,2006,245000,29900,Nafta,Manuální,80,Sauto
Citroen,Saxo,2004,136000,29900,Benzín,Manuální,44,Sauto
Nissan,Micra,2004,159467,29900,Benzín,Manuální,59,Sauto
Peugeot,207,2007,110795,29900,Benzín,Manuální,54,Sauto
Seat,Leon,2005,236884,29990,Benzín,Manuální,55,Sauto
