Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Škoda,Octavia,1.6,2010,155032,150000,nafta,manual,77
Škoda,Yeti,2.0,2014,223161,259000,nafta,manual,103
Škoda,Fabia,1.0,2022,39830,410000,benzín,manual,81
Škoda,Superb,1.8,2014,141324,240000,benzín,manual,118
Škoda,Citigo,1.0,2014,90246,155000,benzín,manual,44
Škoda,Octavia,1.5,2020,129283,445000,benzín,manual,110
Škoda,Fabia,1.0,2021,22911,315000,benzín,manual,59
Škoda,Octavia,1.6,2011,182968,150000,nafta,manual,77
Škoda,Citigo,1.0,2013,82976,155000,benzín,manual,50
Škoda,Fabia,1.0,2017,85935,240000,benzín,manual,70
Škoda,Octavia,1.6,2018,69793,315000,nafta,manual,85
Škoda,Superb,3.6,2012,170256,280000,benzín,automat,191
Škoda,Fabia,1.0,2021,49751,300000,benzín,manual,70
Škoda,Octavia,1.6,2017,182784,250000,nafta,manual,85
Škoda,Octavia,2.0,2018,51482,410000,nafta,automat,110
Škoda,Fabia,1.0,2020,38392,300000,benzín,manual,70
Škoda,Superb,2.0,2016,127491,449000,nafta,automat,140
Škoda,Octavia,2.0,2014,210552,259000,nafta,manual,135
Škoda,Octavia,2.0,2013,172246,280000,nafta,manual,135
Škoda,Superb,2.0,2018,174400,409000,nafta,automat,140
Škoda,Fabia,1.0,2020,94505,259000,benzín,manual,70
Škoda,Octavia,1.6,2017,169813,240000,nafta,manual,81
Škoda,Octavia,1.4,2012,192464,153000,benzín,automat,90
Škoda,Octavia,1.4,2010,110030,155000,benzín,manual,90
Škoda,Octavia,1.6,2016,135148,280000,nafta,manual,81
Škoda,Superb,2.0,2016,255423,315000,nafta,automat,140
Škoda,Rapid,1.6,2016,268329,150000,nafta,manual,85
Škoda,Octavia,1.6,2011,131056,150000,nafta,manual,77
Škoda,Scala,1.0,2019,46343,300000,benzín,manual,85
Škoda,Octavia,2.0,2021,87610,440000,nafta,manual,85
Škoda,Fabia,1.0,2021,71002,280000,benzín,manual,70
Škoda,Fabia,1.0,2021,138657,240000,benzín,manual,70
