Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Volkswagen,T Roc,2020,157540,429000,Benzín,Manuální,110
Volkswagen,Passat Variant,2021,54964,503000,Benzín,Manuální,110
Volkswagen,Passat Variant,2021,80197,605000,Benzín,Automatická,110
Volkswagen,Tiguan,2020,182633,527000,Nafta,Automatická,140
Volkswagen,Sharan,2015,287890,299000,Nafta,Automatická,130
Volkswagen,Tiguan,2020,148538,572000,Nafta,Automatická,110
Volkswagen,Golf,2022,176444,423000,Nafta,Automatická,85
Volkswagen,Golf,2016,158054,252000,CNG + benzín,Automatická,81
Volkswagen,Id4,2021,105383,599000,Elektro,Automatická,125
Volkswagen,Tiguan,2020,159995,584000,Nafta,Automatická,140
Volkswagen,Passat,2020,156181,471000,Nafta,Automatická,110
Volkswagen,Golf Variant,2021,176508,398000,Nafta,Automatická,85
Volkswagen,Touran,2016,226434,299000,Nafta,Manuální,110
Volkswagen,Golf,2015,142223,299000,Nafta,Manuální,110
Volkswagen,T Roc,2020,49914,554000,Benzín,Manuální,110
Volkswagen,Sharan,2020,180754,543000,Nafta,Automatická,110
Volkswagen,Golf,2021,171095,430000,Nafta,Automatická,110
Volkswagen,Passat Variant,2019,82926,567000,Nafta,Automatická,140
Volkswagen,Sharan,2020,171953,544000,Nafta,Automatická,110
Volkswagen,Passat,2020,168563,430000,Nafta,Automatická,110
Volkswagen,Passat,2019,197326,397000,Nafta,Automatická,110
Volkswagen,Passat Variant,2021,175545,422000,Nafta,Automatická,110
Volkswagen,Touran,2021,169030,482000,Nafta,Automatická,110
Volkswagen,Tiguan Allspace,2019,167278,564000,Nafta,Automatická,110
Volkswagen,Arteon Shooting Brake,2021,100000,689000,Nafta,Automatická,147
Volkswagen,Passat,2022,150000,547000,Nafta,Automatická,110
Volkswagen,Caravelle,2022,149224,785000,Nafta,Automatická,150
Volkswagen,Passat Variant,2020,169711,498000,Nafta,Automatická,140
Volkswagen,Golf Variant,2019,198226,314000,Nafta,Automatická,110
Volkswagen,Tiguan Allspace,2021,170509,584000,Nafta,Automatická,110
Volkswagen,Passat Variant,2020,144584,478000,Nafta,Automatická,110
Volkswagen,Golf Variant,2019,230521,312000,Nafta,Automatická,110
Volkswagen,Touran,2021,153404,498000,Nafta,Automatická,110
Volkswagen,Tiguan,2019,81514,586000,Nafta,Automatická,110
Volkswagen,Golf,2021,174022,452000,Nafta,Automatická,110
Volkswagen,Touran,2021,200000,431000,Nafta,Automatická,110
Volkswagen,T Roc,2020,67961,564000,Nafta,Automatická,110
Volkswagen,Caddy,2019,107458,537000,Nafta,Automatická,110
Volkswagen,Touran,2020,164729,442000,Nafta,Automatická,85
Volkswagen,Passat Variant,2021,150000,471000,Nafta,Automatická,110
Volkswagen,Golf Variant,2019,138073,434000,Nafta,Automatická,110
Volkswagen,Golf,2022,153517,462000,Nafta,Automatická,85
Volkswagen,Passat,2022,200000,413000,Nafta,Automatická,110
Volkswagen,Passat Variant,2020,131516,493000,Nafta,Automatická,110
Volkswagen,Tiguan Allspace,2019,103363,673000,Nafta,Automatická,140
Volkswagen,Tiguan Allspace,2021,157333,691000,Nafta,Automatická,147
Volkswagen,Passat Variant,2021,113040,617000,Nafta,Automatická,110
Volkswagen,Caddy,2019,222070,331000,Nafta,Manuální,75
Volkswagen,Passat Variant,2021,149832,496000,Nafta,Automatická,110
Volkswagen,Passat Variant,2021,155194,479000,Nafta,Automatická,110
Volkswagen,Passat Variant,2021,159614,452000,Nafta,Automatická,110
Volkswagen,Golf,2019,158911,374000,Nafta,Automatická,110
Volkswagen,Passat Variant,2019,135924,538000,Nafta,Automatická,110
