Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Skoda,Karoq,1.5,2020,173169,454000,Benzín,Manuální,110
Skoda,Octavia,2.0,2021,146853,428000,Nafta,Manuální,110
Skoda,Octavia,2.0,2018,149135,358000,Nafta,Automatická,110
Skoda,Octavia,1.6,2018,172854,238000,Nafta,Manuální,85
Skoda,Octavia,2.0,2020,163613,378000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,106110,448000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,149295,408000,Nafta,Manuální,110
Skoda,Superb,1.4,2020,143475,550000,Hybridní,Automatická,160
Skoda,Karoq,1.5,2019,147933,458000,Benzín,Manuální,110
Skoda,Octavia,2.0,2019,158894,348000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,149974,498000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,122562,498000,Nafta,Automatická,140
Skoda,Karoq,1.6,2020,101063,478000,Nafta,Manuální,85
Skoda,Karoq,1.5,2019,146581,438000,Benzín,Manuální,110
Skoda,Octavia,1.5,2020,143214,358000,Benzín,Automatická,110
Skoda,Superb,2.0,2012,311199,134000,Nafta,Manuální,125
Skoda,Superb,2.0,2020,161466,488000,Nafta,Automatická,110
Skoda,Kamiq,1.0,2020,95760,378000,Benzín,Manuální,85
Skoda,Karoq,1.0,2019,149278,358000,Benzín,Manuální,85
Skoda,Superb,2.0,2021,154973,478000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,155598,428000,Nafta,Automatická,110
Skoda,Karoq,1.5,2018,130793,438000,Benzín,Automatická,110
Skoda,Karoq,1.6,2020,121715,448000,Nafta,Manuální,85
Skoda,Superb,2.0,2021,141317,498000,Nafta,Automatická,110
Skoda,Karoq,1.5,2020,155320,498000,Benzín,Manuální,110
Skoda,Karoq,1.5,2019,88671,458000,Benzín,Manuální,110
Skoda,Octavia,2.0,2020,147509,448000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,147155,438000,Nafta,Automatická,110
Skoda,Octavia,2.0,2018,179380,328000,Nafta,Manuální,110
Skoda,Octavia,2.0,2020,149101,378000,Nafta,Automatická,110
Skoda,Superb,1.4,2021,91604,604000,Hybridní,Automatická,160
Skoda,Superb,2.0,2021,159617,498000,Nafta,Automatická,110
Skoda,Octavia,1.5,2020,156124,404000,Benzín,Manuální,110
Skoda,Karoq,1.6,2019,172927,378000,Nafta,Manuální,85
Skoda,Karoq,2.0,2021,116044,488000,Nafta,Manuální,85
Skoda,Rapid,1.0,2017,68242,228000,Benzín,Manuální,70
Skoda,Octavia,2.0,2021,163204,424000,Nafta,Automatická,110
Skoda,Octavia,2.0,2019,141334,358000,Nafta,Automatická,110
Skoda,Octavia,1.5,2020,140009,378000,Benzín,Automatická,110
Skoda,Karoq,1.5,2019,147290,488000,Benzín,Manuální,110
Skoda,Octavia,2.0,2020,112602,418000,Nafta,Manuální,85
Skoda,Superb,2.0,2016,249560,248000,Nafta,Manuální,110
Skoda,Octavia,1.2,2011,234000,79000,Benzín,Manuální,77
Skoda,Superb,1.4,2019,111810,600000,Hybridní,Automatická,160
Skoda,Superb,2.0,2021,176533,486000,Nafta,Automatická,110
Skoda,Octavia,2.0,2017,208600,278000,Nafta,Automatická,110
Skoda,Karoq,1.5,2020,179753,448000,Benzín,Manuální,110
Skoda,Octavia,1.6,2016,234227,199900,Nafta,Manuální,81
Skoda,Fabia,1.0,2018,106300,197000,Benzín,Manuální,70
Skoda,Octavia,2.0,2020,147333,378000,Nafta,Automatická,110
Skoda,Karoq,2.0,2018,123161,491000,Nafta,Manuální,110
Skoda,Superb,2.0,2011,316500,155000,Nafta,Automatická,103
Skoda,Superb,1.5,2020,72845,395000,Benzín,Manuální,110
Skoda,Octavia,2.0,2021,150000,436000,Nafta,Automatická,110
Skoda,Fabia,1.0,2021,37928,348000,Benzín,Automatická,70
Skoda,Fabia,1.0,2021,65551,303000,Benzín,Manuální,70
Skoda,Superb,1.4,2020,110080,489999,Hybridní,Automatická,160
Skoda,Octavia,2.0,2019,139000,469000,Benzín,Automatická,140
Skoda,Karoq,1.5,2021,169371,492000,Benzín,Automatická,110
Skoda,Superb,2.0,2020,165710,498000,Nafta,Automatická,140
Skoda,Superb,2.0,2021,159244,488000,Nafta,Automatická,110
Skoda,Octavia,1.6,2020,154716,328000,Nafta,Automatická,85
Skoda,Fabia,1.0,2020,19200,268000,Benzín,Manuální,44
Skoda,Octavia,2.0,2019,203587,346000,Nafta,Automatická,110
Skoda,Octavia,2.0,2019,123114,459000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,150000,458000,Nafta,Automatická,110
Skoda,Octavia,2.0,2021,150000,498000,Nafta,Manuální,110
Skoda,Superb,2.0,2019,166453,496000,Nafta,Automatická,140
Skoda,Superb,2.0,2021,162174,476000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,150000,493000,Nafta,Automatická,110
Skoda,Octavia,2.0,2021,192235,422000,Nafta,Automatická,110
Skoda,Octavia,2.0,2021,170350,446000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,153502,451000,Nafta,Automatická,110
Skoda,Octavia,2.0,2021,167831,444000,Nafta,Automatická,110
Skoda,Octavia,2.0,2019,160911,467000,Nafta,Automatická,135
Skoda,Karoq,1.5,2021,150000,499000,Benzín,Automatická,110
Skoda,Octavia,2.0,2021,178993,459000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,185183,459000,Nafta,Automatická,110
Skoda,Octavia,2.0,2019,123369,399000,Nafta,Automatická,110
Skoda,Octavia,2.0,2020,157596,419000,Nafta,Automatická,110
Skoda,Karoq,2.0,2021,119836,498000,Nafta,Automatická,85
Skoda,Octavia,2.0,2020,141259,468000,Nafta,Automatická,110
Skoda,Fabia,1.9,2005,333966,55000,Nafta,Manuální,74
Skoda,Octavia,1.9,2003,284486,55000,Nafta,Manuální,66
Skoda,Octavia,1.4,2013,159082,255000,Benzín,Automatická,103
Skoda,Kamiq,1.0,2020,23726,440000,Benzín,Manuální,85
Skoda,Octavia,2.0,2010,417570,80000,Nafta,Automatická,103
Skoda,Citigo,1.0,2015,62877,130000,Benzín,Manuální,44
Skoda,Superb,1.4,2021,173722,458000,Hybridní,Automatická,115
Skoda,Fabia,1.0,2018,169124,200000,Benzín,Manuální,70
Skoda,Octavia,1.8,2008,290000,85000,Benzín,Manuální,118
Skoda,Octavia,1.4,2010,209884,135000,Benzín,Manuální,90
Skoda,Rapid,1.2,2014,145051,150000,Benzín,Manuální,77
Skoda,Karoq,2.0,2019,184045,498000,Nafta,Automatická,140
Skoda,Octavia,1.6,2001,244253,60000,Benzín,Manuální,75
Skoda,Superb,2.0,2018,163748,350000,Nafta,Manuální,110
Skoda,Scala,1.5,2023,41539,480000,Benzín,Manuální,110
Skoda,Fabia,1.2,2012,123042,135000,Benzín,Manuální,63
Skoda,Superb,2.0,2016,199500,359000,Nafta,Automatická,140
Skoda,Fabia,1.2,2013,112230,145000,Benzín,Manuální,77
Skoda,Kamiq,1.0,2023,5688,438000,Benzín,Manuální,81
Skoda,Fabia,1.0,2023,13783,460000,Benzín,Automatická,81
Skoda,Fabia,1.0,2020,25730,303000,Benzín,Manuální,70
Skoda,Superb,1.4,2020,157258,550000,Hybridní,Automatická,160
Skoda,Octavia,2.0,2007,313116,80000,Nafta,Manuální,103
Skoda,Fabia,1.4,2008,147586,80000,Benzín,Manuální,63
Skoda,Fabia,1.0,2018,157170,190000,Benzín,Manuální,70
Skoda,Octavia,1.6,2012,302107,80000,Nafta,Manuální,77
Skoda,Fabia,1.0,2018,50309,240000,Benzín,Manuální,70
Skoda,Fabia,1.0,2023,19755,390000,Benzín,Manuální,70
Skoda,Octavia,2.0,2023,42904,500000,Nafta,Manuální,85
Skoda,Rapid,1.6,2015,169330,170000,Nafta,Manuální,66
Skoda,Octavia,1.9,2006,263562,80000,Nafta,Automatická,77
Skoda,Fabia,1.2,2008,99206,90000,Benzín,Manuální,51
Skoda,Scala,1.0,2021,52923,420000,Benzín,Automatická,81
Skoda,Superb,2.0,2009,334500,115000,Nafta,Automatická,125
Skoda,Octavia,1.6,2015,257557,209000,Nafta,Automatická,77
Skoda,Fabia,1.0,2019,80841,200000,Benzín,Manuální,44
Skoda,Superb,2.0,2017,153222,380000,Nafta,Manuální,140
Skoda,Kodiaq,2.0,2019,227000,499000,Nafta,Automatická,110
Skoda,Fabia,1.2,2012,160708,100000,Benzín,Manuální,63
Skoda,Fabia,1.2,2012,94836,110000,Benzín,Manuální,63
Skoda,Octavia,1.4,2009,248214,80000,Benzín,Manuální,90
Skoda,Fabia,1.2,2013,159069,120000,Benzín,Manuální,63
Skoda,Octavia,2.0,2023,51911,490000,Nafta,Manuální,85
Skoda,Octavia,1.6,2004,96000,99990,Benzín,Manuální,75
Skoda,Fabia,1.2,2009,55000,119990,Benzín,Manuální,51
Skoda,Rapid,1.6,2014,150958,170000,Nafta,Manuální,66
Skoda,Octavia,2.0,2020,146559,389000,Nafta,Automatická,110
Skoda,Superb,1.4,2015,290000,249000,Benzín,Automatická,110
Skoda,Scala,1.5,2023,29730,499900,Benzín,Manuální,110
Skoda,Octavia,1.6,2007,163164,65000,Benzín,Manuální,75
Skoda,Octavia,1.6,2014,279100,159000,Nafta,Manuální,77
Skoda,Fabia,1.2,2017,86251,269000,Benzín,Manuální,66
Skoda,Superb,1.9,2009,172338,160000,Nafta,Manuální,77
Skoda,Scala,1.0,2020,147416,270000,Benzín,Manuální,70
Skoda,Citigo,1.0,2015,66855,189900,Benzín,Manuální,55
Skoda,Superb,2.0,2018,153023,429000,Benzín,Automatická,162
Skoda,Fabia,1.2,2010,166142,60000,Benzín,Manuální,51
Skoda,Octavia,2.0,2006,384351,70000,Nafta,Automatická,103
Skoda,Fabia,1.0,2020,84418,297000,Benzín,Manuální,81
Skoda,Fabia,1.0,2017,171000,189000,Benzín,Manuální,81
Skoda,Fabia,1.0,2019,144755,240000,Benzín,Manuální,70
Skoda,Superb,2.0,2021,107598,548000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,136228,508000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2021,173004,608000,Nafta,Automatická,147
Skoda,Superb,2.0,2022,171624,508000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,143305,558000,Nafta,Automatická,110
Skoda,Octavia,2.0,2022,105496,528000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,91097,648000,Nafta,Automatická,110
Skoda,Superb,1.4,2021,52317,630000,Hybridní,Automatická,160
Skoda,Kodiaq,2.0,2021,161411,778000,Nafta,Automatická,176
Skoda,Karoq,1.5,2021,71460,518000,Benzín,Automatická,110
Skoda,Superb,2.0,2021,71299,598000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,156584,618000,Nafta,Automatická,147
Skoda,Superb,2.0,2021,157623,508000,Nafta,Automatická,110
Skoda,Karoq,1.5,2020,99204,538000,Benzín,Manuální,110
Skoda,Octavia,2.0,2022,97145,578000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,153762,548000,Nafta,Automatická,110
Skoda,Karoq,2.0,2020,89023,568000,Nafta,Automatická,140
Skoda,Superb,2.0,2022,119783,608000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2020,118901,688000,Nafta,Automatická,140
Skoda,Superb,2.0,2022,142695,558000,Nafta,Automatická,110
Skoda,Karoq,1.5,2022,154830,578000,Benzín,Automatická,110
Skoda,Superb,2.0,2020,147585,518000,Nafta,Manuální,110
Skoda,Superb,2.0,2021,125080,548000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,114034,568000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,100626,578000,Nafta,Manuální,110
Skoda,Kodiaq,1.5,2021,147466,678000,Benzín,Automatická,110
Skoda,Superb,2.0,2021,113989,588000,Nafta,Automatická,110
Skoda,Octavia,2.0,2024,39987,698000,Nafta,Automatická,110
Skoda,Kodiaq,1.5,2020,115229,538000,Benzín,Manuální,110
Skoda,Superb,2.0,2022,147135,558000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,137483,598000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,158649,528000,Nafta,Automatická,110
Skoda,Karoq,1.5,2020,127362,538000,Benzín,Manuální,110
Skoda,Superb,2.0,2020,141030,508000,Nafta,Automatická,140
Skoda,Kodiaq,2.0,2021,42057,708000,Nafta,Automatická,110
Skoda,Superb,2.0,2023,110664,718000,Nafta,Automatická,110
Skoda,Kodiaq,1.5,2021,156887,618000,Benzín,Automatická,110
Skoda,Karoq,1.5,2022,162341,558000,Benzín,Automatická,110
Skoda,Superb,2.0,2020,118148,538000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,78819,598000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2021,136892,648000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,145203,577000,Nafta,Automatická,147
Skoda,Superb,1.5,2021,73758,654000,Nafta,Automatická,147
Skoda,Superb,1.4,2021,149848,524000,Hybridní,Automatická,160
Skoda,Octavia,2.0,2023,8340,898000,Benzín,Automatická,180
Skoda,Kodiaq,2.0,2020,153908,741000,Nafta,Automatická,140
Skoda,Octavia,1.4,2022,7350,748000,Hybridní,Automatická,180
Skoda,Octavia,2.0,2023,19485,778000,Benzín,Automatická,180
Skoda,Octavia,2.0,2021,179490,528900,Nafta,Automatická,110
Skoda,Octavia,2.0,2024,14910,898900,Benzín,Automatická,180
Skoda,Superb,1.4,2023,24150,899000,Hybridní,Automatická,160
Skoda,Superb,2.0,2021,92044,639000,Nafta,Automatická,147
Skoda,Octavia,1.4,2021,167504,470000,Hybridní,Automatická,150
Skoda,Kodiaq,2.0,2021,154460,631000,Nafta,Automatická,110
Skoda,Karoq,2.0,2021,142273,558000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,144636,585000,Nafta,Automatická,147
Skoda,Octavia,2.0,2023,1450,828000,Benzín,Automatická,180
Skoda,Superb,2.0,2021,163530,587000,Nafta,Automatická,147
Skoda,Superb,2.0,2019,150000,545000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,76012,648000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,150000,581000,Nafta,Automatická,110
Skoda,Superb,1.4,2022,118533,520000,Hybridní,Automatická,160
Skoda,Superb,2.0,2020,142098,545000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2020,165929,662000,Nafta,Automatická,147
Skoda,Superb,2.0,2020,128927,541000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,161869,564000,Nafta,Automatická,147
Skoda,Superb,2.0,2020,122795,538000,Nafta,Automatická,140
Skoda,Karoq,2.0,2020,170966,521000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,132285,592000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2019,150000,744000,Nafta,Automatická,176
Skoda,Superb,2.0,2021,113347,560000,Nafta,Automatická,110
Skoda,Karoq,2.0,2021,191845,522000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,90116,673000,Nafta,Automatická,147
Skoda,Superb,2.0,2020,106713,529000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,132660,591000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,165239,528000,Nafta,Automatická,110
Skoda,Superb,2.0,2021,176928,519000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2021,156977,748000,Nafta,Automatická,147
Skoda,Kodiaq,2.0,2021,159404,662000,Nafta,Automatická,147
Skoda,Superb,2.0,2021,150000,658000,Nafta,Automatická,147
Skoda,Superb,2.0,2021,129005,571000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2021,141575,738000,Nafta,Automatická,147
Skoda,Kodiaq,2.0,2022,94385,829000,Nafta,Automatická,147
Skoda,Superb,2.0,2020,84764,717000,Nafta,Automatická,140
Skoda,Kodiaq,2.0,2021,98180,780000,Nafta,Automatická,147
Skoda,Octavia,2.0,2020,52000,800000,Benzín,Automatická,180
Skoda,Superb,1.4,2021,125000,528000,Hybridní,Automatická,115
Skoda,Scala,1.0,2024,10440,619900,Benzín,Automatická,85
Skoda,Kodiaq,2.0,2018,173883,545000,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2020,62068,789999,Nafta,Automatická,110
Skoda,Kodiaq,2.0,2019,47905,785000,Nafta,Automatická,140
Skoda,Kodiaq,2.0,2021,155996,716000,Nafta,Automatická,147
Skoda,Kodiaq,2.0,2022,103367,805000,Nafta,Automatická,147
Skoda,Superb,2.0,2021,145378,581000,Nafta,Automatická,147
Skoda,Octavia,2.0,2023,79890,649900,Nafta,Automatická,110
Skoda,Superb,1.4,2020,117060,590000,Hybridní,Automatická,160
Skoda,Superb,2.0,2020,148887,598000,Nafta,Automatická,140
Skoda,Superb,2.0,2022,79115,799000,Nafta,Automatická,147
Skoda,Kodiaq,2.0,2019,114000,699000,Nafta,Automatická,140
Skoda,Superb,2.0,2019,150000,650000,Benzín,Automatická,200
Skoda,Octavia,1.4,2021,174506,537000,Hybridní,Automatická,180
Skoda,Superb,2.0,2017,52000,599990,Nafta,Automatická,140
Skoda,Karoq,1.5,2021,109559,538900,Benzín,Automatická,110
Skoda,Superb,1.4,2021,43660,692000,Hybridní,Automatická,115
Skoda,Superb,2.0,2020,141400,669877,Nafta,Automatická,140
Skoda,Octavia,2.0,2021,111200,539877,Nafta,Automatická,110
Skoda,Superb,2.0,2020,200000,548000,Nafta,Automatická,110
Skoda,Karoq,2.0,2021,67979,649000,Nafta,Automatická,110
Skoda,Superb,2.0,2022,73119,659000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,144479,518900,Nafta,Automatická,110
Skoda,Superb,2.0,2020,134100,699877,Nafta,Automatická,140
Skoda,Kodiaq,2.0,2020,137500,769877,Nafta,Automatická,140
Skoda,Kodiaq,2.0,2022,43625,962000,Nafta,Automatická,110
Skoda,Fabia,1.5,2023,24805,540000,Benzín,Automatická,110
Skoda,Octavia,2.0,2020,99300,599877,Benzín,Automatická,180
Skoda,Kodiaq,2.0,2021,49300,869877,Benzín,Automatická,140
Skoda,Superb,2.0,2020,96900,699877,Benzín,Automatická,140
Skoda,Octavia,2.0,2023,21913,713000,Nafta,Automatická,110
Skoda,Superb,2.0,2020,126800,749877,Nafta,Automatická,147
Skoda,Octavia,1.4,2021,40493,624000,Hybridní,Automatická,180
Skoda,Octavia,2.0,2022,75100,599877,Nafta,Automatická,110
Skoda,Octavia,2.0,2023,5000,829877,Nafta,Automatická,147
Skoda,Superb,2.0,2020,104700,749877,Nafta,Automatická,140
Skoda,Octavia,2.0,2025,15000,789900,Nafta,Automatická,110
Skoda,Karoq,2.0,2024,12017,919900,Nafta,Automatická,110
Skoda,Scala,1.5,2024,8615,549900,Benzín,Manuální,110
Skoda,Karoq,2.0,2024,7640,725000,Nafta,Manuální,85
Skoda,Superb,2.0,2023,25720,999900,Nafta,Automatická,147
Skoda,Superb,1.5,2024,90,869000,Benzín,Automatická,110
Skoda,Scala,1.0,2024,10910,569000,Benzín,Automatická,85
Skoda,Kamiq,1.0,2024,10596,564900,Benzín,Automatická,81
Skoda,Octavia,2.0,2024,16224,899000,Benzín,Automatická,180
Skoda,Scala,1.0,2024,6350,559000,Benzín,Automatická,85
Skoda,Octavia,1.5,2024,19650,673000,Benzín,Manuální,110
Skoda,Scala,1.5,2025,15000,669900,Benzín,Automatická,110
Skoda,Superb,1.4,2021,127000,645000,Benzín,Automatická,160
Skoda,Superb,2.0,2023,20970,974050,Benzín,Automatická,206
Skoda,Karoq,2.0,2024,10455,858000,Nafta,Automatická,110
Skoda,Scala,1.5,2024,5700,576800,Benzín,Manuální,110
Skoda,Karoq,2.0,2024,15945,848000,Nafta,Automatická,110
Skoda,Fabia,1.0,2025,15000,539900,Benzín,Automatická,85
Skoda,Octavia,2.0,2024,20594,599900,Nafta,Manuální,85
Skoda,Kodiaq,2.0,2023,16346,918000,Nafta,Automatická,110
Skoda,Octavia,1.4,2021,81660,572000,Hybridní,Automatická,150
Skoda,Superb,1.4,2019,54964,600000,Hybridní,Automatická,160
Skoda,Octavia,1.4,2022,35873,600000,Hybridní,Automatická,150
Skoda,Superb,2.0,2025,1,1349000,Nafta,Automatická,142
